Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.049984,-1.561,-0.023419,0,0,0,6.9792,0.06278,2.6705E-07,-8.2288E-06,0.015503,0.00031975,0.063748,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/base_link.STL,,어셈블리_x_베이스기둥-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist,-0.00023797,0.0030511,0.025043,0,0,0,4.737,0.0059431,-1.0279E-06,2.1883E-06,0.036877,-7.0323E-06,0.041312,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/waist.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/waist.STL,,어셈블리_x_어깨-1,waist_coordinate,waist_axis,waist_joint,revolute,0.049913,-1.7215,-0.025206,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
left_shoulder_1,0.0008044,0.0035967,-0.074233,0,0,0,0.0693,3.6715E-05,-6.2964E-13,2.0323E-13,5.2364E-05,3.2579E-07,4.2646E-05,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/left_shoulder_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/left_shoulder_1.STL,,어셈블리_어깨_상완부연결부-2,left_shoulder_1_coordinate,left_shoulder_1_axis,left_shoulder_1,revolute,-0.2608,0.00040604,0.03375,0,0,0,waist,0,0,-1,0,0,0,0,,,,,,,,
left_shoulder_2,0.056175,2.7583E-10,-0.02332,0,0,0,2.8727,0.0017886,4.049E-06,-7.1446E-10,0.0025234,1.2713E-12,0.0033752,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/left_shoulder_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/left_shoulder_2.STL,,어셈블리_x_상완수정-3,left_shoulder_2_coordinate,left_shoulder_2_axis,left_shoulder_2,revolute,0.00080439,-0.022406,-0.10925,1.5708,1.5708,0,left_shoulder_1,0,0,1,0,0,0,0,,,,,,,,
left_elbow,0.11881,2.6109E-07,-0.022621,0,0,0,0.37689,3.4583E-05,8.5523E-09,1.301E-07,0.00035016,-1.8102E-10,0.00035942,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/left_elbow.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/left_elbow.STL,,어셈블리_하완부_플레이트본-1,left_elbow_coordinate,left_elbow_axis,left_elbow,revolute,0.23,0,0.0005,0,0,0,left_shoulder_2,0,0,1,0,0,0,0,,,,,,,,
left_wrist,0.11114,1.1583E-05,-0.023002,0,0,0,0.084981,1.3719E-05,2.2849E-08,-7.1702E-09,0.00039646,-7.493E-12,0.00039453,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/left_wrist.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/left_wrist.STL,,어셈블리_x_손목스틱수정-2,left_wrist_coordinate,left_wrist_axis,left_wrist,revolute,0.2,0,0.00045,0,0,0,left_elbow,0,0,-1,0,0,0,0,,,,,,,,
right_shoulder_1,-0.0001254,-0.004895,-0.074233,0,0,0,0.0693,3.6715E-05,-6.2964E-13,-2.0323E-13,5.2364E-05,-3.2579E-07,4.2646E-05,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/right_shoulder_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/right_shoulder_1.STL,,어셈블리_어깨_상완부연결부-1,right_shoulder_1_coordinate,right_shoulder_1_axis,right_shoulder_1,revolute,0.26013,0.00089229,0.03375,0,0,0,waist,0,0,-1,0,0,0,0,,,,,,,,
right_shoulder_2,0.056175,-2.7583E-10,-0.02643,0,0,0,2.8727,0.0017886,-4.049E-06,7.1446E-10,0.0025234,1.2713E-12,0.0033752,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/right_shoulder_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/right_shoulder_2.STL,,어셈블리_x_상완수정-1,right_shoulder_2_coordinate,right_shoulder_2_axis,right_shoulder_2,revolute,-0.0001254,-0.028642,-0.10925,1.5708,1.5708,0,right_shoulder_1,0,0,-1,0,0,0,0,,,,,,,,
right_elbow,0.11881,-2.6109E-07,-0.016429,0,0,0,0.37689,3.4583E-05,-8.5523E-09,-1.301E-07,0.00035016,-1.8102E-10,0.00035942,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/right_elbow.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/right_elbow.STL,,어셈블리_하완부_플레이트본-2,right_elbow_coordinate,right_elbow_axis,right_elbow,revolute,0.23,0,-0.0112,0,0,0,right_shoulder_2,0,0,-1,0,0,0,0,,,,,,,,
right_wrist,0.11114,1.1583E-05,-0.026002,0,0,0,0.084981,1.3719E-05,2.2849E-08,-7.1702E-09,0.00039646,-7.493E-12,0.00039453,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/right_wrist.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/right_wrist.STL,,어셈블리_x_손목스틱수정-1,right_wrist_coordinate,right_wrist_axis,right_wrist,revolute,0.2,0,0.0095,0,0,0,right_elbow,0,0,1,0,0,0,0,,,,,,,,
head,-0.00031434,-5.6798E-06,0.026892,0,0,0,0.31902,7.2002E-05,2.1035E-09,-5.2319E-08,6.1312E-05,-5.6195E-08,2.9042E-05,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/head.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/head.STL,,어셈블리_머리부분_어깨_모터연결-1,head_coordinate,head_axis,head,revolute,0,0.022,0.142,0,0,0,waist,0,0,-1,0,0,0,0,,,,,,,,
head_2,-0.011418,0.019288,-0.069715,0,0,0,0.20144,0.0012665,7.4538E-09,4.4275E-06,0.00030395,1.5738E-10,0.0014077,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/head_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drumrobot_RL_urdf/meshes/head_2.STL,,어셈블리_x_머리수정-1,head_2_coordinate,head_2_axis,head_2,revolute,-0.019,0,0.039006,1.5708,1.5708,0,head,0,1,0,0,0,0,0,,,,,,,,
